Player,Age,2017-18
Justise Winslow,22,"$2,705,040 "
Bam Adebayo,20,"$2,490,360 "
Dwyane Wade,36,"$2,328,652 "
Udonis Haslem,37,"$2,328,652 "
Luke Babbitt,28,"$1,974,159 "
Josh Richardson,24,"$1,471,382 "
Jordan Mickey,23,"$1,471,382 "
Rodney McGruder,26,"$1,312,611 "
Chris Bosh,34,"$25,289,390 "
A.J. Hammons,25,"$1,312,611 "
Matt Williams,24,"$50,000 "
Giannis Antetokounmpo,23,"$22,471,910 "
Eric Bledsoe,28,"$14,500,000 "
Khris Middleton,26,"$14,100,000 "
John Henson,27,"$11,422,536 "
Tony Snell,26,"$9,821,429 "
Matthew Dellavedova,27,"$9,607,500 "
Jabari Parker,23,"$6,782,392 "
Thon Maker,21,"$2,684,160 "
Jason Terry,40,"$2,328,652 "
D.J. Wilson,22,"$2,135,040 "
Tyler Zeller,28,"$1,709,538 "
Malcolm Brogdon,25,"$1,312,611 "
Sterling Brown,23,"$815,615 "
Brandon Jennings,28,"$238,020 "
Mirza Teletovic,32,"$10,500,000 "
Spencer Hawes,29,"$6,021,175 "
Larry Sanders,29,"$1,865,547 "
DeAndre Liggins,30,"$1,577,230 "
Sean Kilpatrick,28,"$789,725 "
Gary Payton,25,"$50,000 "
Jalen Moore,22,"$50,000 "
Joel Bolomboy,24,"$22,248 "
Jimmy Butler,28,"$19,301,070 "
Jeff Teague,29,"$19,000,000 "
Gorgui Dieng,28,"$14,112,360 "
Taj Gibson,32,"$14,000,000 "
Andrew Wiggins,23,"$7,574,322 "
Cole Aldrich,29,"$7,300,000 "
Karl-Anthony Towns,22,"$6,216,840 "
Jamal Crawford,38,"$4,328,000 "
Nemanja Bjelica,29,"$3,949,999 "
Justin Patton,20,"$2,247,480 "
Aaron Brooks,33,"$2,116,955 "
Tyus Jones,21,"$1,471,382 "
Marcus Georges-Hunt,24,"$1,312,611 "
Nikola Pekovic,32,"$11,600,000 "
Shabazz Muhammad,25,"$1,577,230 "
Kevin Martin,35,"$1,360,305 "
Jrue Holiday,27,"$25,686,667 "
Anthony Davis,25,"$23,775,506 "
DeMarcus Cousins,27,"$18,063,850 "
Nikola Mirotic,27,"$12,500,000 "
Solomon Hill,27,"$12,236,535 "
E'Twaun Moore,29,"$8,445,024 "
Alexis Ajinca,29,"$4,961,798 "
Rajon Rondo,32,"$3,300,000 "
Darius Miller,28,"$2,100,000 "
Ian Clark,27,"$1,577,230 "
Cheick Diallo,21,"$1,312,611 "
Frank Jackson,19,"$815,615 "
Josh Smith,32,"$2,183,934 "
Rashad Vaughn,21,"$1,889,040 "
Jordan Crawford,29,"$250,000 "
Emeka Okafor,35,"$239,204 "
DeAndre Liggins,30,"$172,238 "
Larry Drew,28,"$148,318 "
Walt Lemon Jr.,25,"$92,160 "
Quinn Cook,25,"$25,000 "
Axel Toupane,25,"$25,000 "
Enes Kanter,25,"$20,566,802 "
Joakim Noah,33,"$17,765,000 "
Tim Hardaway,26,"$16,500,000 "
Courtney Lee,32,"$11,747,890 "
Lance Thomas,29,"$6,655,325 "
Kristaps Porzingis,22,"$4,503,600 "
Ron Baker,25,"$4,328,000 "
Kyle O'Quinn,28,"$4,087,500 "
Frank Ntilikina,19,"$3,501,120 "
Emmanuel Mudiay,22,"$3,381,480 "
Jarrett Jack,34,"$2,328,652 "
Michael Beasley,29,"$2,116,955 "
Damyean Dotson,23,"$1,100,000 "
Trey Burke,25,"$784,160 "
Mindaugas Kuzminskas,28,"$3,025,035 "
Ramon Sessions,31,"$2,328,652 "
Johnny O'Bryant,24,"$1,524,305 "
Chasson Randle,25,"$1,312,611 "
Troy Williams,23,"$148,318 "
Marshall Plumlee,25,"$100,000 "
Nigel Hayes,23,"$50,000 "
Russell Westbrook,29,"$28,530,608 "
Carmelo Anthony,33,"$26,243,760 "
Steven Adams,24,"$22,471,910 "
Paul George,27,"$19,508,958 "
Andre Roberson,26,"$9,259,259 "
Alex Abrines,24,"$5,725,000 "
Patrick Patterson,29,"$5,192,000 "
Kyle Singler,29,"$4,666,500 "
Nick Collison,37,"$2,328,652 "
Raymond Felton,33,"$2,328,652 "
Terrance Ferguson,19,"$1,785,000 "
Jerami Grant,24,"$1,524,305 "
Josh Huestis,26,"$1,471,382 "
Dakari Johnson,22,"$815,615 "
Ronnie Price,34,"$2,442,455 "
Evan Fournier,25,"$17,000,000 "
Bismack Biyombo,25,"$17,000,000 "
Nikola Vucevic,27,"$12,250,000 "
Terrence Ross,27,"$10,500,000 "
D.J. Augustin,30,"$7,250,000 "
Jonathon Simmons,28,"$6,300,000 "
Shelvin Mack,27,"$6,000,000 "
Aaron Gordon,22,"$5,504,420 "
Jonathan Isaac,20,"$4,186,320 "
Mario Hezonja,23,"$4,078,320 "
Arron Afflalo,32,"$2,328,652 "
Marreese Speights,30,"$2,116,955 "
Wesley Iwundu,23,"$1,050,000 "
Khem Birch,25,"$815,615 "
C.J. Watson,33,"$333,334 "
Rashad Vaughn,21,"$166,258 "
Rodney Purvis,24,"$92,160 "
J.J. Redick,33,"$23,000,000 "
Robert Covington,27,"$16,698,103 "
Amir Johnson,30,"$11,000,000 "
Jerryd Bayless,29,"$9,000,000 "
Markelle Fultz,19,"$7,026,240 "
Ben Simmons,21,"$6,168,840 "
Joel Embiid,24,"$6,100,266 "
Dario Saric,23,"$2,422,560 "
Justin Anderson,24,"$1,579,440 "
T.J. McConnell,26,"$1,471,382 "
Richaun Holmes,24,"$1,471,382 "
Furkan Korkmaz,20,"$1,465,920 "
Timothe Luwawu-Cabarrot,22,"$1,386,600 "
Marco Belinelli,32,"$776,217 "
Ersan Ilyasova,30,"$502,328 "
Trevor Booker,30,"$9,125,000 "
Gerald Henderson,30,"$1,000,000 "
Tibor Pleiss,28,"$500,000 "
Jacob Pullen,28,"$50,000 "
James Michael McAdoo,25,"$50,000 "
Brandon Knight,26,"$13,618,750 "
Tyson Chandler,35,"$13,000,000 "
Jared Dudley,32,"$10,000,000 "
Alan Williams,25,"$6,000,000 "
Josh Jackson,21,"$5,090,040 "
Dragan Bender,20,"$4,468,800 "
Alex Len,24,"$4,187,599 "
Troy Daniels,26,"$3,408,520 "
Elfrid Payton,24,"$3,332,340 "
T.J. Warren,24,"$3,152,931 "
Marquese Chriss,20,"$3,073,800 "
Devin Booker,21,"$2,319,360 "
Tyler Ulis,22,"$1,312,611 "
Davon Reed,22,"$815,615 "
Greg Monroe,27,"$17,884,176 "
Derrick Jones,21,"$1,312,611 "
Isaiah Canaan,26,"$1,069,308 "
Leandro Barbosa,35,"$500,000 "
Josh Gray,24,"$92,160 "
Shaquille Harrison,24,"$92,160 "
Mike James,27,"$87,552 "
Damian Lillard,27,"$26,153,057 "
C.J. McCollum,26,"$23,962,573 "
Evan Turner,29,"$17,131,148 "
Maurice Harkless,24,"$10,162,922 "
Meyers Leonard,26,"$9,904,495 "
Al-Farouq Aminu,27,"$7,319,035 "
Ed Davis,28,"$6,352,531 "
Zach Collins,20,"$3,057,240 "
Jusuf Nurkic,23,"$2,947,305 "
Shabazz Napier,26,"$2,361,360 "
Pat Connaughton,25,"$1,471,382 "
Caleb Swanigan,20,"$1,465,920 "
Jake Layman,24,"$1,312,611 "
Wade Baldwin,22,"$222,476 "
Andrew Nicholson,28,"$2,844,429 "
Anderson Varejao,35,"$1,913,345 "
Festus Ezeli,28,"$333,334 "
Brandon Rush,32,"$119,602 "
Georgios Papagiannis,20,"$74,159 "
Zach Randolph,36,"$12,307,692 "
Iman Shumpert,27,"$10,337,079 "
Bogdan Bogdanovic,25,"$9,470,614 "
Kosta Koufos,29,"$8,393,000 "
Vince Carter,41,"$8,000,000 "
Garrett Temple,31,"$8,000,000 "
De'Aaron Fox,20,"$4,609,200 "
Willie Cauley-Stein,24,"$3,704,160 "
Buddy Hield,24,"$3,675,480 "
Bruno Caboclo,22,"$2,451,225 "
Justin Jackson,23,"$2,365,560 "
Harry Giles,19,"$1,859,400 "
Skal Labissiere,22,"$1,312,611 "
Frank Mason,23,"$1,184,385 "
Joe Johnson,36,"$9,505,000 "
Georgios Papagiannis,20,"$2,301,360 "
Matt Barnes,38,"$2,133,542 "
Anthony Tolliver,32,"$2,000,000 "
Arron Afflalo,32,"$1,500,000 "
Caron Butler,38,"$517,220 "
LaMarcus Aldridge,32,"$21,461,010 "
Kawhi Leonard,26,"$18,868,625 "
Pau Gasol,37,"$16,000,000 "
Tony Parker,35,"$15,453,126 "
Patty Mills,29,"$10,714,286 "
Danny Green,30,"$10,000,000 "
Rudy Gay,31,"$8,406,000 "
Manu Ginobili,40,"$2,500,000 "
Kyle Anderson,24,"$2,151,704 "
Joffrey Lauvergne,26,"$1,524,305 "
Derrick White,23,"$1,404,600 "
Bryn Forbes,24,"$1,312,611 "
Davis Bertans,25,"$1,312,611 "
Dejounte Murray,21,"$1,312,611 "
Brandon Paul,26,"$815,615 "
Tim Duncan,41,"$1,881,250 "
Livio Jean-Charles,24,"$1,035,200 "
Kyle Lowry,32,"$28,703,704 "
DeMar DeRozan,28,"$27,739,975 "
Serge Ibaka,28,"$20,061,729 "
Jonas Valanciunas,25,"$15,460,675 "
C.J. Miles,30,"$7,936,509 "
Lucas Nogueira,25,"$2,947,305 "
Jakob Poeltl,22,"$2,825,640 "
Delon Wright,25,"$1,645,200 "
OG Anunoby,20,"$1,645,200 "
Malachi Richardson,22,"$1,504,560 "
