,,Salary,Salary,Salary,Salary,Salary,Salary,,
Kevin Love,29,"$22,642,350 ","$24,119,025 ","$25,595,700 ",,,,Bird Rights,"$46,761,375 "
George Hill,31,"$20,000,000 ","$19,000,000 ","$18,000,000 ",,,,Cap space,"$40,000,000 "
Tristan Thompson,27,"$16,400,000 ","$17,469,565 ","$18,539,130 ",,,,Bird Rights,"$52,408,695 "
J.R. Smith,32,"$13,760,000 ","$14,720,000 ","$15,680,000 ",,,,Bird Rights,"$32,350,000 "
Jordan Clarkson,25,"$11,562,500 ","$12,500,000 ","$13,437,500 ",,,,Cap Space,"$37,500,000 "
Kyle Korver,37,"$7,000,000 ","$7,560,000 ","$7,500,000 ",,,,Bird Rights,"$18,000,000 "
Cedi Osman,22,"$2,642,857 ","$2,775,000 ","$2,907,143 ",,,,MLE,"$8,325,000 "
Rodney Hood,25,"$2,386,864 ",,,,,,1st Round Pick,"$2,386,864 "
Jose Calderon,36,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Jeff Green,31,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Ante Zizic,21,"$1,645,200 ","$1,952,760 ","$2,281,800 ","$3,872,215 ",,,1st Round Pick,"$3,597,960 "
Larry Nance,25,"$1,471,382 ","$2,272,391 ",,,,,1st Round pick,"$3,743,773 "
London Perrantes,23,TBD,,,,,,Two-Way Contract,"$74,718 "
John Holland,29,TBD,,,,,,Two-Way Contract,"$50,000 "
Okaro White,25,"$74,159 ",,,,,,,
Marcus Thornton,25,"$46,080 ",,,,,,,
Harrison Barnes,25,"$23,112,004 ","$24,107,258 ","$25,102,512 ",,,,Cap Space,"$47,219,262 "
Wesley Matthews,31,"$17,884,176 ","$18,622,514 ",,,,,Cap Space,"$17,884,176 "
Dwight Powell,26,"$9,003,125 ","$9,631,250 ","$10,259,375 ",,,,Cap Space,"$18,634,375 "
Dirk Nowitzki,39,"$5,000,000 ","$5,000,000 ",,,,,Cap space,"$5,000,000 "
Nerlens Noel,23,"$4,187,599 ",,,,,,1st Round Pick,"$4,187,599 "
J.J. Barea,33,"$3,903,900 ","$3,710,850 ",,,,,Cap Space,"$7,614,750 "
Doug McDermott,26,"$3,294,994 ",,,,,,1st Round Pick,"$3,294,994 "
Dennis Smith,20,"$3,218,280 ","$3,819,960 ","$4,463,640 ","$5,686,677 ",,,1st Round Pick,"$7,038,240 "
Seth Curry,27,"$3,028,410 ",,,,,,Room exception,"$3,028,410 "
Salah Mejri,31,"$1,471,382 ",,,,,,Minimum Salary,"$1,471,382 "
Yogi Ferrell,24,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Dorian Finney-Smith,24,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$1,312,611 "
Maxi Kleber,26,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
Aaron Harrison,23,"$83,129 ",,,,,,10-Day Contract,
Jalen Jones,24,TBD,,,,,,Two-Way Contract,TBD
Johnathan Motley,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Kyle Collinsworth,26,,,,,,,Minimum Salary,
Josh McRoberts,31,"$6,021,175 ",,,,,,,"$6,021,175 "
Jeff Withey,28,"$1,577,320 ","$1,795,015 ",,,,,,"$350,000 "
Gal Mekel,30,"$315,760 ",,,,,,,"$315,760 "
Kyle Collinsworth,26,"$92,160 ",,,,,,,"$92,160 "
Scotty Hopson,28,"$74,159 ",,,,,,,
Kyle Collinsworth,26,"$50,000 ",,,,,,,"$50,000 "
Gian Clavell,24,"$50,000 ",,,,,,,"$50,000 "
Antonius Cleveland,24,"$50,000 ",,,,,,,"$50,000 "
Jameel Warney,24,"$46,080 ",,,,,,,
Paul Millsap,33,"$31,269,231 ","$29,730,769 ","$30,500,000 ",,,,Cap space,"$61,000,000 "
Mason Plumlee,28,"$14,041,096 ","$12,917,808 ","$14,041,096 ",,,,Cap space,"$41,000,000 "
Kenneth Faried,28,"$12,921,348 ","$13,764,045 ",,,,,1st Round Pick,"$26,685,393 "
Wilson Chandler,30,"$12,016,854 ","$12,800,562 ",,,,,,"$12,016,854 "
Darrell Arthur,30,"$7,464,912 ","$7,464,912 ",,,,,Cap Space,"$7,464,912 "
Devin Harris,35,"$4,402,546 ",,,,,,Cap Space,"$4,402,546 "
Will Barton,27,"$3,533,333 ",,,,,,Bird Rights,"$3,533,333 "
Jamal Murray,21,"$3,355,320 ","$3,499,800 ","$4,444,746 ",,,,1st Round pick,"$6,855,120 "
Gary Harris,23,"$2,550,055 ","$16,517,857 ","$17,839,286 ","$19,160,714 ","$20,482,143 ",,1st Round Pick,"$76,550,055 "
Trey Lyles,22,"$2,441,400 ","$3,364,249 ",,,,,1st round pick,"$5,805,649 "
Richard Jefferson,37,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Juan Hernangomez,22,"$2,076,840 ","$2,166,360 ","$3,321,030 ",,,,1st Round pick,"$4,243,200 "
Malik Beasley,21,"$1,700,640 ","$1,773,840 ","$2,731,714 ",,,,1st Round pick,"$3,474,480 "
Tyler Lydon,21,"$1,579,440 ","$1,874,640 ","$2,190,720 ",,,,1st Round Pick,"$3,454,080 "
Nikola Jokic,23,"$1,471,382 ","$1,600,520 ",,,,,,"$1,471,382 "
Monte Morris,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Torrey Craig,27,TBD,,,,,,Two-Way Contract,"$50,000 "
Jameer Nelson,36,"$4,736,050 ",,,,,,,"$4,736,050 "
Blake Griffin,29,"$29,512,900 ","$31,873,932 ","$34,234,964 ","$36,595,996 ","$38,957,028 ",,Bird Rights,"$132,217,792 "
Andre Drummond,24,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,Cap Space,"$76,302,788 "
Reggie Jackson,27,"$16,000,000 ","$17,043,478 ","$18,086,956 ",,,,Bird Rights,"$51,130,434 "
Jon Leuer,28,"$10,497,319 ","$10,002,681 ","$9,508,043 ",,,,Cap Space,"$30,008,043 "
Langston Galloway,26,"$6,666,667 ","$7,000,000 ","$7,333,333 ",,,,MLE,"$21,000,000 "
Ish Smith,29,"$6,000,000 ","$6,000,000 ",,,,,Cap Space,"$12,000,000 "
Anthony Tolliver,32,"$3,290,000 ",,,,,,Bi-annual Exception,"$3,290,000 "
Stanley Johnson,21,"$3,097,800 ","$3,940,402 ",,,,,1st round pick,"$7,038,202 "
James Ennis,27,"$3,028,410 ",,,,,,Room exception,"$3,028,410 "
Luke Kennard,21,"$2,759,280 ","$3,275,280 ","$3,827,160 ","$5,273,826 ",,,1st Round Pick,"$6,034,560 "
Reggie Bullock,27,"$2,500,000 ","$2,500,000 ",,,,,Cap space,"$2,500,000 "
Jameer Nelson,36,"$2,262,871 ",,,,,,,"$2,262,871 "
Henry Ellenson,21,"$1,780,800 ","$1,857,480 ","$2,856,804 ",,,,1st Round pick,"$3,638,280 "
Eric Moreland,26,"$1,739,333 ","$1,826,300 ","$1,913,267 ",,,,MLE,"$1,739,333 "
Dwight Buycks,29,"$748,160 ","$1,600,520 ",,,,,Two-Way Converted,"$748,160 "
Reggie Hearn,26,TBD,,,,,,Two-Way Contract,TBD
Kay Felder,23,TBD,,,,,,Two-Way Contract,TBD
Josh Smith,32,"$5,400,000 ","$5,400,000 ","$5,400,000 ",,,,,"$16,200,000 "
Michael Gbinije,25,"$500,000 ",,,,,,,"$500,000 "
Aaron Gray,33,"$452,059 ",,,,,,,"$452,059 "
Luis Montero,24,"$50,000 ",,,,,,,"$50,000 "
Beno Udrih,35,"$25,000 ",,,,,,,"$25,000 "
Stephen Curry,30,"$34,682,550 ","$37,457,154 ","$40,231,758 ","$43,006,362 ","$45,780,966 ",,Bird Rights,"$201,158,790 "
