,,Salary,Salary,Salary,Salary,Salary,Salary,,
JaMychal Green\greenja01,27,$8533333,$7866667,,,,,Bird Rights,$16400000
Ben McLemore\mclembe01,25,$5200000,$5460000,,,,,MLE,$10660000
Tyreke Evans\evansty01,28,$3290000,,,,,,Bi-annual Exception,$3290000
Mario Chalmers\chalmma01,31,$2106407,,,,,,Minimum Salary,$2106407
Jarell Martin\martija01,23,$1471382,$2416222,,,,,1st Round pick,$3887604
Andrew Harrison\harrian01,23,$1312611,$1544951,,,,,Cap Space,$1312611
Wayne Selden\seldewa01,23,$1312611,$1544951,,,,,,$2085087
Deyonta Davis\davisde01,21,$1312611,$1544951,,,,,Cap Space,$2857562
Ivan Rabb\rabbiv01,21,$950000,$1378242,$1618520,,,,MLE,$2328242
Dillon Brooks\brookdi01,22,$815615,$1378242,$1618520,,,,MLE,$2193857
MarShon Brooks\brookma01,29,$86119,,,,,,10-Day Contract,
Marquis Teague\teaguma01,25,$83129,,,,,,10-Day Contract,
Kobi Simmons\simmoko01,20,TBD,,,,,,Two-Way Contract,$50000
Myke Henry\henrymy01,25,TBD,,,,,,Two-Way Contract,TBD
Brandan Wright\wrighbr03,30,$5179760,,,,,,,$5179760
Wade Baldwin\baldwwa01,22,$1874400,,,,,,,$1874400
Brice Johnson\johnsbr02,23,$1331160,,,,,,,$1331160
Rade Zagorac\zagorra01,22,$950000,$1378242,,,,,,$2328242
Briante Weber\weberbr01,25,$83129,,,,,,,
Vince Hunter\huntevi01,23,$50000,,,,,,,$50000
Xavier Rathan-Mayes\rathaxa01,23,$46080,,,,,,,
Hassan Whiteside\whiteha01,28,$23775506,$25434263,$27093018,,,,Cap Space,$49209769
Goran Dragic\dragigo01,31,$17000450,$18109175,$19217900,,,,Bird Rights,$35109625
James Johnson\johnsja01,31,$13954000,$14651700,$15349400,,,,Cap space,$43955100
Dion Waiters\waitedi01,26,$11000000,$11550000,$12100000,$12650000,,,Cap space,$47300000
Kelly Olynyk\olynyke01,26,$10607169,$11137527,$11667885,$12198243,,,Cap space,$33412581
Wayne Ellington\ellinwa01,30,$6270000,,,,,,Cap Space,$6270000
Tyler Johnson\johnsty01,25,$5881260,$19245370,$19245370,,,,Cap Space,$25126630
Justise Winslow\winslju01,22,$2705040,$3448926,,,,,1st round pick,$6153966
Bam Adebayo\adebaba01,20,$2490360,$2955840,$3454080,$5115492,,,1st Round Pick,$5446200
Dwyane Wade\wadedw01,36,$2328652,,,,,,Minimum Salary,$2328652
Udonis Haslem\hasleud01,37,$2328652,,,,,,Minimum Salary,$2328652
Luke Babbitt\babbilu01,28,$1974159,,,,,,Minimum Salary,$987080
Josh Richardson\richajo01,24,$1471382,$9300000,$10100000,$10800000,$11600000,,Minimum Salary,$31671382
Jordan Mickey\mickejo01,23,$1471382,$1600520,,,,,Minimum Salary,$1471382
