Player,Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Nikola Jokic,23,1471382,1358500,1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameer Nelson,36,4736050,4540525,4500000,2732000,8600000,8600000,7800000,7800000,6138888,7700000,1961609,1272120,1189200,1106160,0,0,0,0,0
Blake Griffin,29,29512900,20140838,18907725,17674612,16441500,7226892,5731080,5357280,4983480,0,0,0,0,0,0,0,0,0,0
Andre Drummond,24,23775506,22116750,3272091,2568360,2462400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Jackson,27,16000000,14956522,14000000,2204370,1260360,1243080,1156320,0,0,0,0,0,0,0,0,0,0,0,0
Jon Leuer,28,10497319,10991957,1035000,967500,0,762195,473604,0,0,0,0,0,0,0,0,0,0,0,0
Langston Galloway,26,6666667,5200000,845059,235762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ish Smith,29,6000000,6000000,1100602,981084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Tolliver,32,3290000,8000000,3000000,3000000,0,915852,2050000,2200000,359546,26007,0,0,0,0,0,0,0,0,0
Stanley Johnson,21,3097800,2969880,2841960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Ennis,27,3028410,2898000,845059,507336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kennard,21,2759280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Bullock,27,2500000,2255644,1252440,1200720,1149000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Ellenson,21,1780800,1704120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Moreland,26,1739333,0,845059,507336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Smith,32,5400000,5400000,5400000,14000000,13500000,13200000,12400000,11600000,10800000,10000000,2243543,1460640,1365360,1270080,0,0,0,0,0
Michael Gbinije,25,500000,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Gray,33,452059,452059,452059,1227985,2690875,2575000,2500000,1028840,1000497,711517,427163,0,0,0,0,0,0,0,0
Beno Udrih,35,25000,1551659,2170465,2077000,1272279,7372000,6925400,6478600,6031800,5585000,1747096,967920,0,0,0,0,0,0,0
Stephen Curry,30,34682550,12112359,11370786,10629213,9887642,3958742,3117120,2913840,2710560,0,0,0,0,0,0,0,0,0,0
Kevin Durant,29,25000000,26540100,20158622,18995624,17832627,16669630,15506632,6053663,4796880,4484040,4171200,0,0,0,0,0,0,0,0
Klay Thompson,28,17826150,16663575,15500000,3075880,2317920,2286000,2126520,0,0,0,0,0,0,0,0,0,0,0,0
Draymond Green,28,16400000,15330435,14300000,915243,875500,850000,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Iguodala,34,14814815,11131368,11710456,12289544,12868632,14968250,13531750,12345250,12200000,11300000,0,2201640,2058000,1914480,0,0,0,0,0
Shaun Livingston,32,7692308,5782450,5543725,5305000,1272279,768720,3500000,0,296695,370000,4404629,3481920,3254880,3027840,0,0,0,0,0
Nick Young,32,5192000,5443918,5219169,4994420,1106942,5600000,3695857,2630503,1714800,1602960,1491240,0,0,0,0,0,0,0,0
Zaza Pachulia,34,3477600,2898000,5200000,5200000,5200000,5248750,4750000,4251250,4750000,4000000,4000000,4000000,4000000,620046,366931,0,0,0,0
David West,37,2328652,1551659,1499000,12000000,12000000,10000000,10000000,8287500,9075000,9862500,10650000,2051938,1334160,1247160,1160160,0,0,0,0
JaVale McGee,30,2116955,1403611,1270964,11250000,10750000,10000000,2462400,1601040,1496640,1392240,0,0,0,0,0,0,0,0,0
Omri Casspi,29,2106470,138414,3000000,1063384,947907,2277306,1341960,1254480,1167000,0,0,0,0,0,0,0,0,0,0
Kevon Looney,22,1471382,1182840,1131960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick McCaw,22,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Jones,22,1312611,1171560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Bell,23,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Thompson,31,945126,945126,6431250,6037500,5643750,5250000,3001284,2178000,2035920,1893840,0,0,0,0,0,0,0,0,0
James Harden,28,28299399,26540100,15756438,14728844,13701250,0,4604760,4304520,4054160,0,0,0,0,0,0,0,0,0,0
Chris Paul,32,24599495,22868827,21468696,20068563,18668431,17779458,16359805,14940153,13520500,4574189,3615960,3380160,3144240,0,0,0,0,0,0
Ryan Anderson,29,19578455,18735364,8500000,8491500,8308500,8700000,2244601,1409040,1317120,1225200,0,0,0,0,0,0,0,0,0
Eric Gordon,29,12943020,12385364,15514031,14898938,14283844,13668750,3831184,3016680,2819880,2623200,0,0,0,0,0,0,0,0,0
P.J. Tucker,32,7590035,5300000,5500000,5700000,884293,762195,0,0,0,0,0,412718,0,0,0,0,0,0,0
Trevor Ariza,32,7420912,7806971,8193030,8579089,7727280,7258960,6790640,6322320,5854000,3100000,3100000,3100000,682051,385277,0,0,0,0,0
Nene Hilario,35,3477600,2898000,13000000,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Black,26,3290000,6191000,845059,507336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clint Capela,23,2334520,1296240,1242720,1189200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luc Mbah a Moute,31,2116955,2203000,1270964,4382576,4588384,4795192,5000000,854389,736420,757000,0,0,0,0,0,0,0,0,0
Chinanu Onuaku,21,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhou Qi,22,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Johnson,36,10505000,11000000,414481,23180790,21466718,19752645,18038573,16324500,14976754,14232567,13488377,12744189,12000000,2358954,1850160,1729560,1608840,0,0
Bobby Brown,33,1524305,934293,0,0,0,0,0,0,736420,442114,0,0,0,0,0,0,0,0,0
Troy Williams,23,1471382,181969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
