ATLANTA HAWKS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Dennis Smith\smithde03,20,"$3,218,280 ","$3,819,960 ","$4,463,640 ","$5,686,677 ",,,1st Round Pick,"$7,038,240 "
Seth Curry\curryse01,27,"$3,028,410 ",,,,,,Room exception,"$3,028,410 "
Salah Mejri\mejrisa01,31,"$1,471,382 ",,,,,,Minimum Salary,"$1,471,382 "
Yogi Ferrell\ferreyo01,24,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Dorian Finney-Smith\finnedo01,24,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$1,312,611 "
Maxi Kleber\klebima01,26,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
Aaron Harrison\harriaa01,23,"$83,129 ",,,,,,10-Day Contract,
Jalen Jones\jonesja04,24,TBD,,,,,,Two-Way Contract,TBD
Johnathan Motley\motlejo01,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Kyle Collinsworth\colliky01,26,,,,,,,Minimum Salary,
Josh McRoberts\mcrobjo01,31,"$6,021,175 ",,,,,,,"$6,021,175 "
Jeff Withey\witheje01,28,"$1,577,320 ","$1,795,015 ",,,,,,"$350,000 "
Gal Mekel\mekelga01,30,"$315,760 ",,,,,,,"$315,760 "
Kyle Collinsworth\colliky01,26,"$92,160 ",,,,,,,"$92,160 "
Scotty Hopson\hopsosc01,28,"$74,159 ",,,,,,,
Kyle Collinsworth\colliky01,26,"$50,000 ",,,,,,,"$50,000 "
Gian Clavell\clavegi01,24,"$50,000 ",,,,,,,"$50,000 "
Antonius Cleveland\clevean01,24,"$50,000 ",,,,,,,"$50,000 "
Jameel Warney\warneja01,24,"$46,080 ",,,,,,,
Team Totals,,"$85,904,490 ","$69,610,040 ","$39,825,527 ","$5,686,677 ",,,,"$125,793,120 "
DENVER NUGGETS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Paul Millsap\millspa01,33,"$31,269,231 ","$29,730,769 ","$30,500,000 ",,,,Cap space,"$61,000,000 "
Mason Plumlee\plumlma01,28,"$14,041,096 ","$12,917,808 ","$14,041,096 ",,,,Cap space,"$41,000,000 "
Kenneth Faried\farieke01,28,"$12,921,348 ","$13,764,045 ",,,,,1st Round Pick,"$26,685,393 "
Wilson Chandler\chandwi01,30,"$12,016,854 ","$12,800,562 ",,,,,,"$12,016,854 "
Darrell Arthur\arthuda01,30,"$7,464,912 ","$7,464,912 ",,,,,Cap Space,"$7,464,912 "
Devin Harris\harride01,35,"$4,402,546 ",,,,,,Cap Space,"$4,402,546 "
Will Barton\bartowi01,27,"$3,533,333 ",,,,,,Bird Rights,"$3,533,333 "
Jamal Murray\murraja01,21,"$3,355,320 ","$3,499,800 ","$4,444,746 ",,,,1st Round pick,"$6,855,120 "
Gary Harris\harriga01,23,"$2,550,055 ","$16,517,857 ","$17,839,286 ","$19,160,714 ","$20,482,143 ",,1st Round Pick,"$76,550,055 "
Trey Lyles\lylestr01,22,"$2,441,400 ","$3,364,249 ",,,,,1st round pick,"$5,805,649 "
Richard Jefferson\jefferi01,37,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Juan Hernangomez\hernaju01,22,"$2,076,840 ","$2,166,360 ","$3,321,030 ",,,,1st Round pick,"$4,243,200 "
Malik Beasley\beaslma01,21,"$1,700,640 ","$1,773,840 ","$2,731,714 ",,,,1st Round pick,"$3,474,480 "
Tyler Lydon\lydonty01,21,"$1,579,440 ","$1,874,640 ","$2,190,720 ",,,,1st Round Pick,"$3,454,080 "
Nikola Jokic\jokicni01,23,"$1,471,382 ","$1,600,520 ",,,,,,"$1,471,382 "
Monte Morris\morrimo01,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Torrey Craig\craigto01,27,TBD,,,,,,Two-Way Contract,"$50,000 "
Jameer Nelson\nelsoja01,36,"$4,736,050 ",,,,,,,"$4,736,050 "
Team Totals,,"$107,889,099 ","$107,475,362 ","$75,068,592 ","$19,160,714 ","$20,482,143 ",,,"$265,121,706 "
DETROIT PISTONS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Blake Griffin\griffbl01,29,"$29,512,900 ","$31,873,932 ","$34,234,964 ","$36,595,996 ","$38,957,028 ",,Bird Rights,"$132,217,792 "
Andre Drummond\drumman01,24,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,Cap Space,"$76,302,788 "
Reggie Jackson\jacksre01,27,"$16,000,000 ","$17,043,478 ","$18,086,956 ",,,,Bird Rights,"$51,130,434 "
Jon Leuer\leuerjo01,28,"$10,497,319 ","$10,002,681 ","$9,508,043 ",,,,Cap Space,"$30,008,043 "
Langston Galloway\gallola01,26,"$6,666,667 ","$7,000,000 ","$7,333,333 ",,,,MLE,"$21,000,000 "
Ish Smith\smithis01,29,"$6,000,000 ","$6,000,000 ",,,,,Cap Space,"$12,000,000 "
Anthony Tolliver\tollian01,32,"$3,290,000 ",,,,,,Bi-annual Exception,"$3,290,000 "
Stanley Johnson\johnsst04,21,"$3,097,800 ","$3,940,402 ",,,,,1st round pick,"$7,038,202 "
James Ennis\ennisja01,27,"$3,028,410 ",,,,,,Room exception,"$3,028,410 "
Luke Kennard\kennalu01,21,"$2,759,280 ","$3,275,280 ","$3,827,160 ","$5,273,826 ",,,1st Round Pick,"$6,034,560 "
Reggie Bullock\bullore01,27,"$2,500,000 ","$2,500,000 ",,,,,Cap space,"$2,500,000 "
Jameer Nelson\nelsoja01,36,"$2,262,871 ",,,,,,,"$2,262,871 "
Henry Ellenson\ellenhe01,21,"$1,780,800 ","$1,857,480 ","$2,856,804 ",,,,1st Round pick,"$3,638,280 "
Eric Moreland\moreler01,26,"$1,739,333 ","$1,826,300 ","$1,913,267 ",,,,MLE,"$1,739,333 "
Dwight Buycks\buyckdw01,29,"$748,160 ","$1,600,520 ",,,,,Two-Way Converted,"$748,160 "
Reggie Hearn\hearnre01,26,TBD,,,,,,Two-Way Contract,TBD
Kay Felder\feldeka01,23,TBD,,,,,,Two-Way Contract,TBD
Josh Smith\smithjo03,32,"$5,400,000 ","$5,400,000 ","$5,400,000 ",,,,,"$16,200,000 "
Michael Gbinije\gbinimi01,25,"$500,000 ",,,,,,,"$500,000 "
Aaron Gray\grayaa01,33,"$452,059 ",,,,,,,"$452,059 "
Luis Montero\montelu01,24,"$50,000 ",,,,,,,"$50,000 "
Beno Udrih\udrihbe01,35,"$25,000 ",,,,,,,"$25,000 "
Team Totals,,"$120,086,105 ","$117,754,336 ","$110,253,546 ","$70,621,597 ","$38,957,028 ",,,"$370,165,932 "
GOLDEN STATE WARRIORS,Salary,Salary,Salary,Salary,Salary,Salary,,,
